Date,AEF.MI,MONC.MI,BC.MI,SFER.MI,TOD.MI,MC.PA,CDI.PA,KER.PA
2019-12-30,1.993999958,40.06999969,31.55999947,18.75,41.22000122,409.30896,453.0523987,582.8441772
2020-01-02,2.029999971,40.59000015,32.34000015,18.95499992,42,413.8008728,455.8161011,594.4752197
2020-01-03,2,40.09000015,32.11999893,18.60499954,40.63999939,413.7515259,456.8031311,597.3581543
2020-01-06,1.942000031,40.06999969,31.79999924,18.55500031,39.59999847,409.8519287,455.2239075,587.317688
2020-01-07,1.950000048,40.27000046,34.20000076,18.61499977,40.25999832,410.6910706,455.2239075,592.7852783
2020-01-08,1.960000038,41.15999985,34.56000137,18.94000053,40.70000076,413.4553223,457.1979675,593.7793579
2020-01-09,1.991999984,41.13999939,35.11999893,19.39500046,41.15999985,419.0826111,458.9746399,592.3876343
2020-01-10,1.919999957,40.70999908,35.09999847,19.04999924,40.88000107,418.2434387,459.566864,588.6099854
2020-01-13,1.953999996,40.79999924,36.13999939,18.85000038,40.77999878,421.303894,461.5409546,590.2999878
2020-01-14,1.90199995,41.59000015,36.27999878,18.79500008,40.56000137,425.4996643,465.8839417,592.0999756
2020-01-15,1.914000034,42.72000122,37.25999832,18.35000038,40.45999908,425.9439087,467.2658081,594.5999756
2020-01-16,1.879999995,42.68000031,37.84000015,18.25499916,40.20000076,426.3881531,467.4632263,605.0999756
2020-01-17,1.860000014,42.70000076,38.27999878,18.17499924,40.04000092,433.4468994,472.9906616,610.2000122
2020-01-20,1.863999963,41.34999847,38.54000092,18.13999939,39.97999954,424.2655945,466.4761658,599
2020-01-21,1.853999972,40.43000031,36.97999954,18,40.24000168,419.526886,455.8161011,586.5999756
2020-01-22,1.820000052,41.49000168,37.09999847,17.78000069,39.36000061,418.0460205,454.0394287,592.2000122
2020-01-23,1.781999946,40.34000015,36.24000168,17.49500084,39.27999878,406.6927795,442.7871704,573.4000244
2020-01-24,1.820000052,40.54999924,36.27999878,17.46999931,38.61999893,410.9872437,443.7742004,573.2999878
2020-01-27,1.69599998,38.86000061,34.47999954,16.70000076,36.65999985,395.8825073,427.3892822,552.5999756
2020-01-28,1.738000035,40.06999969,34.22000122,17.12999916,37.06000137,406.7421265,436.6674805,561.7999878
2020-01-29,1.738000035,40.36999893,34.09999847,17.15999985,36.20000076,402.3982849,432.3244934,568
2020-01-30,1.613999963,39.56000137,33.13999939,16.96999931,35.63999939,393.8092957,423.8359375,561.2000122
2020-01-31,1.534000039,39,32.81999969,16.68499947,36.52000046,390.255249,418.5059204,555
2020-02-03,1.539999962,39.43000031,33.02000046,16.71999931,37.29999924,391.6867371,421.6644592,554.0999756
2020-02-04,1.620000005,39.95999908,33.52000046,17.18499947,37.47999954,405.3599854,432.5219116,569
2020-02-05,1.572000027,40.40999985,34.58000183,17.08499908,36.81999969,409.7038269,436.8648987,573.5999756
2020-02-06,1.570000052,39.59000015,34.02000046,16.93499947,37.09999847,412.7149048,437.4571228,572
2020-02-07,1.521999955,38.70999908,32.79999924,16.61499977,36.63999939,408.6672668,434.6933899,565.7000122
2020-02-10,1.521999955,39.72999954,32.88000107,16.54999924,36.38000107,408.2723389,434.6933899,562.5
2020-02-11,1.498000026,38.65000153,33.13999939,16.15500069,36.06000137,407.087677,434.298584,562.7000122
2020-02-12,1.531999946,39.31000137,34,16.82999992,36.86000061,419.2800598,444.1690063,598
2020-02-13,1.559999943,38.65000153,34.08000183,16.57999992,36.65999985,416.1702271,440.4182739,596.4000244
2020-02-14,1.526000023,38.09999847,33.40000153,16.43000031,36.86000061,409.65448,434.8908081,579.4000244
2020-02-17,1.511999965,38.25999832,33.70000076,16.70000076,37.09999847,409.1114807,436.2726746,580
2020-02-18,1.472000003,37.63999939,33.63999939,16.53499985,37.09999847,403.6323242,428.7711487,569.7000122
2020-02-19,1.5,39.04000092,34.90000153,16.72500038,37.15999985,413.7021484,439.8260193,587
2020-02-20,1.462000012,38.25,33.88000107,16.36499977,35.63999939,404.5701904,429.1659546,566.5
2020-02-21,1.40199995,37.15000153,33.08000183,15.96000004,35.13999939,399.3378296,423.4411316,561.5999756
2020-02-24,1.30400002,35.15999985,32.15999985,14.53999996,31.12000084,380.7283936,401.9236145,535.0999756
2020-02-25,1.305999994,35.13000107,30.44000053,14.60000038,32.29999924,375.1998596,394.4220886,524.5
2020-02-26,1.34800005,35.70000076,30.87999916,14.89000034,32.22000122,380.3334961,397.5805969,530
2020-02-27,1.340000033,35.25999832,29.54000092,14.32499981,32.29999924,365.1300354,382.3801575,511.7000122
2020-02-28,1.345999956,35.22000122,30,14.28999996,31.05999947,366.1172791,376.0631104,505.7999878
2020-03-02,1.281999946,34.43000031,30.94000053,13.76500034,30.81999969,371.300293,381.7879333,504.6000061
2020-03-03,1.230000019,34.5,30.84000015,13.73999977,30.5,372.5343323,378.0371704,512
2020-03-04,1.253999949,35,31.07999992,13.65999985,30.18000031,380.2841492,384.749054,513.5999756
2020-03-05,1.182000041,34.25,29.68000031,12.97000027,29.37999916,369.77005,371.917511,501.5
2020-03-06,1.200000048,33.72000122,29.36000061,12.68500042,28.05999947,355.7512817,359.4808044,483.5
2020-03-09,1.052000046,30.52000046,26.95999908,11.875,26.10000038,333.6864929,336.9762268,457.0499878
2020-03-10,1.00999999,30.13999939,27.21999931,11.22000027,24.95999908,330.5273132,329.8695374,449.9500122
2020-03-11,0.930999994,29.36000061,26.78000069,11.35499954,24.94000053,325.936676,328.4876404,438.5
2020-03-12,0.769999981,26,26.20000076,9.562000275,22.29999924,297.6523132,289.0059509,384.5
2020-03-13,0.79400003,29.70000076,26.95999908,10.16499996,23.97999954,310.8812866,294.1385803,405
2020-03-16,0.782999992,27.38999939,26.95999908,10.53499985,22.79999924,293.8020935,272.8184814,377.6000061
2020-03-17,0.779999971,27,26.84000015,10.5,24.55999947,307.2778931,272.8184814,391.0499878
2020-03-18,0.842000008,27.5,27.05999947,10,27.73999977,284.275238,249.9190979,357.6000061
2020-03-19,0.874000013,27.02000046,25.42000008,11.18000031,28.81999969,291.1859131,253.8672791,380.2999878
2020-03-20,0.875,29.27000046,25.05999947,12.48999977,31.05999947,307.0310669,262.1584167,419.7000122
2020-03-23,0.908999979,28.60000038,23.79999924,12.81000042,29.05999947,307.4259644,254.0646667,405.9500122
2020-03-24,1.019999981,32.45000076,26.18000031,13.77999973,30.76000023,334.8218079,306.1805115,448.3500061
2020-03-25,1.006000042,34.09999847,26.65999985,14.10499954,29.70000076,358.861084,333.2254639,472.1000061
2020-03-26,1.039999962,34.40000153,28.07999992,13.65499973,29.47999954,359.0585327,341.3191833,492.3500061
2020-03-27,1.039999962,33.13000107,26.73999977,12.89999962,28.73999977,337.289917,315.0639038,479.5
2020-03-30,1.008000016,34,26,12.55000019,28.87999916,345.5333557,306.9701538,481.5
2020-03-31,1.029999971,33.29000092,27.68000031,12.10000038,30.5,334.1307678,322.1705933,475.8999939
2020-04-01,1.036000013,32.38999939,27.79999924,11.80000019,30,320.5068665,310.7208862,455
2020-04-02,1.024000049,32,27.29999924,11.75,30.26000023,321.197937,301.8374939,455.6000061
2020-04-03,1.021999955,31.10000038,25.68000031,11.77999973,29.70000076,320.9017639,294.5333862,452.7000122
2020-04-06,1.042000055,33.25,24.68000031,12.18000031,29.60000038,335.4141541,314.4716797,468.3999939
2020-04-07,1.082000017,33,24.87999916,12.17000008,28.47999954,340.1035461,324.1446533,477
2020-04-08,1.103999972,32.63999939,24.81999969,12.23999977,28.89999962,338.8201599,320.7887268,475.3500061
2020-04-09,1.144000053,32.84999847,25.31999969,12.48999977,29.15999985,342.9665222,325.723938,473.7000122
2020-04-14,1.154000044,33.70000076,25.79999924,12.60999966,29.10000038,347.507843,331.6462097,483.75
2020-04-15,1.057999969,33.20999908,25.94000053,12.06000042,28.10000038,337.6354675,322.1705933,475
2020-04-16,1.034000039,32.84999847,26.54000092,11.89000034,27.76000023,338.4252319,322.9602356,477.25
2020-04-17,1.05400002,34.52000046,27.34000015,12.14999962,28.34000015,353.4312744,343.6881104,503.3999939
2020-04-20,1.05400002,35.25,28.39999962,12.10000038,28.92000008,355.8500061,350.3999939,508.8999939
2020-04-21,1.05400002,34,28.79999924,11.39000034,28,350,339.6000061,489